phi std_phi theta std_theta
-42.064 4.504 17.899 1.259
-33.003 4.571 18.273 1.157
-24.370 4.742 19.018 1.065
-16.974 4.526 20.079 0.973
-10.197 4.275 21.468 0.934
-4.323 4.214 22.969 0.879
0.499 3.639 24.631 0.924
4.750 3.513 26.450 0.907
8.147 3.187 28.292 0.934
11.190 2.917 30.117 0.919
14.011 2.673 31.993 0.976
16.161 2.462 33.780 0.959
18.256 2.401 35.562 0.973
19.967 2.132 37.304 0.952
21.465 2.018 38.989 0.951
22.929 1.969 40.553 0.926
24.131 1.719 42.171 0.950
---
-108.955 1.199 40.311 1.171
-107.244 1.225 38.781 1.274
-105.477 1.276 37.143 1.267
-103.428 1.286 35.497 1.379
-101.053 1.355 33.755 1.375
-98.424 1.428 32.063 1.403
-95.429 1.500 30.419 1.438
-91.985 1.574 28.662 1.388
-87.987 1.696 26.996 1.500
-83.311 1.842 25.424 1.533
-78.104 2.069 24.021 1.498
-72.159 2.361 22.784 1.502
-65.506 2.632 21.761 1.460
-58.178 3.145 21.029 1.424
-50.496 3.481 20.582 1.367
-42.379 3.697 20.506 1.202
-34.763 3.962 20.854 1.178
-27.082 4.061 21.473 1.102
-20.365 4.003 22.399 1.020
-14.201 3.793 23.534 0.963
-8.755 3.713 24.925 0.899
-3.907 3.414 26.436 0.926
0.398 3.269 28.063 0.881
4.051 3.028 29.709 0.935
7.168 2.846 31.411 0.919
9.989 2.625 33.167 0.943
12.355 2.417 34.826 0.927
14.719 2.252 36.494 0.913
16.463 2.101 38.161 0.927
18.276 1.971 39.746 0.953
19.733 1.861 41.301 0.975
21.182 1.792 42.782 0.933
---
-105.878 1.042 41.134 1.179
-104.079 1.098 39.615 1.236
-102.212 1.157 38.085 1.282
-100.081 1.226 36.582 1.283
-97.552 1.291 34.924 1.316
-94.843 1.305 33.395 1.390
-91.663 1.427 31.732 1.424
-88.140 1.427 30.305 1.507
-84.245 1.610 28.837 1.483
-79.744 1.759 27.339 1.490
-74.817 1.861 26.169 1.481
-69.242 2.103 25.011 1.439
-63.061 2.412 24.073 1.439
-56.565 2.729 23.472 1.380
-49.854 2.983 23.160 1.288
-42.874 3.266 23.101 1.236
-36.042 3.422 23.368 1.139
-29.258 3.587 23.897 1.056
-22.905 3.489 24.648 1.017
-17.252 3.446 25.736 0.973
-12.164 3.278 26.917 0.951
-7.554 3.095 28.232 0.919
-3.432 3.032 29.674 0.882
0.498 2.834 31.209 0.921
3.521 2.646 32.835 0.919
6.402 2.537 34.335 0.872
9.011 2.404 35.911 0.923
11.378 2.196 37.499 0.895
13.261 2.087 39.055 0.925
15.096 1.917 40.569 0.914
16.721 1.835 42.062 0.905
18.324 1.697 43.457 0.896
---
-103.047 1.023 41.937 1.227
-101.153 1.029 40.478 1.162
-99.095 1.109 39.072 1.233
-96.826 1.139 37.639 1.278
-94.336 1.181 36.228 1.319
-91.517 1.235 34.627 1.384
-88.374 1.286 33.327 1.373
-84.939 1.415 31.930 1.352
-81.115 1.447 30.522 1.442
-76.772 1.647 29.299 1.429
-71.994 1.841 28.147 1.423
-66.847 2.042 27.242 1.392
-61.151 2.290 26.435 1.354
-55.387 2.429 25.875 1.329
-49.252 2.779 25.635 1.311
-43.056 2.941 25.530 1.227
-36.800 3.068 25.694 1.183
-30.922 3.211 26.216 1.110
-25.386 3.169 26.992 1.039
-19.967 3.106 27.794 1.030
-14.982 2.984 28.859 0.945
-10.584 2.878 30.105 0.914
-6.524 2.858 31.385 0.916
-2.956 2.595 32.765 0.937
0.402 2.512 34.219 0.912
3.141 2.366 35.655 0.878
5.773 2.264 37.081 0.888
8.188 2.159 38.547 0.929
10.283 2.038 40.033 0.918
12.271 1.999 41.484 0.880
13.962 1.768 42.817 0.887
15.343 1.673 44.107 0.905
---
-100.253 0.942 42.881 1.206
-98.366 0.988 41.512 1.217
-96.289 1.044 40.163 1.280
-93.925 1.083 38.819 1.260
-91.428 1.131 37.438 1.293
-88.579 1.221 36.138 1.320
-85.482 1.225 34.840 1.392
-82.078 1.347 33.541 1.376
-78.245 1.429 32.323 1.380
-74.165 1.588 31.183 1.370
-69.734 1.690 30.182 1.356
-64.843 1.883 29.394 1.388
-59.787 2.086 28.760 1.294
-54.441 2.272 28.217 1.334
-48.808 2.553 27.943 1.242
-43.204 2.631 27.966 1.217
-37.645 2.814 28.150 1.181
-32.117 2.777 28.560 1.094
-27.084 2.747 29.112 1.030
-22.085 2.880 29.892 1.017
-17.522 2.786 30.832 1.015
-13.218 2.713 31.985 0.902
-9.497 2.634 33.105 0.957
-5.790 2.365 34.331 0.924
-2.679 2.366 35.640 0.925
0.175 2.326 37.017 0.900
2.937 2.212 38.341 0.899
5.308 2.081 39.692 0.882
7.437 1.935 41.055 0.891
9.529 1.907 42.375 0.892
11.224 1.731 43.668 0.894
12.986 1.709 44.962 0.897
---
-97.748 0.937 43.712 1.175
-95.766 0.949 42.571 1.198
-93.611 1.001 41.248 1.217
-91.341 0.990 40.044 1.230
-88.670 1.044 38.803 1.205
-85.890 1.169 37.526 1.322
-82.916 1.198 36.347 1.371
-79.515 1.296 35.095 1.279
-75.929 1.367 34.061 1.340
-71.902 1.475 33.095 1.369
-67.665 1.634 32.210 1.291
-63.181 1.794 31.473 1.322
-58.524 1.954 30.857 1.323
-53.507 2.086 30.480 1.242
-48.406 2.227 30.189 1.272
-43.431 2.332 30.170 1.180
-38.272 2.479 30.367 1.175
-33.306 2.531 30.708 1.069
-28.672 2.494 31.254 1.041
-23.957 2.604 31.934 1.004
-19.565 2.590 32.755 1.012
-15.508 2.504 33.701 0.923
-11.850 2.489 34.734 0.941
-8.477 2.275 35.892 0.899
-5.393 2.253 37.072 0.907
-2.355 2.188 38.263 0.882
0.290 1.957 39.561 0.914
2.679 2.151 40.789 0.880
4.841 1.860 42.058 0.889
6.845 1.805 43.263 0.898
8.701 1.726 44.536 0.866
10.560 1.649 45.764 0.894
---
-95.341 0.891 44.654 1.192
-93.337 0.919 43.609 1.162
-91.122 0.948 42.383 1.169
-88.824 0.957 41.225 1.202
-86.219 0.975 40.031 1.320
-83.498 1.042 38.928 1.262
-80.480 1.157 37.761 1.313
-77.273 1.248 36.820 1.294
-73.670 1.307 35.790 1.303
-70.150 1.444 34.936 1.331
-66.120 1.568 34.212 1.312
-61.874 1.693 33.487 1.248
